,Book,Author,Description,Genres,Year of Publication,Publisher_x,URL,Aggregated Emotions,Aggregated Des Emotions,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher_y,Image-URL-S,Image-URL-M,Image-URL-L
1190,the lovely bones,alice sebold,name salmon like fish first name susie fourteen murdered december 6 1973 begins story susie salmon adjusting new home heaven place expected even watching life earth continue without friends trading rumors disappearance killer trying cover tracks grief stricken family unraveling unspeakable tragedy loss lovely bones succeeds miraculously building tale filled hope humor suspense even joy ,Fiction,2004,Back Bay Books,https://www.goodreads.com/book/show/12232938-the-lovely-bones,"[(' sad', 21), (' happy', 16), (' attached', 13), (' loved', 6), (' fearless', 5), (' surprise', 5), (' hated', 4), (' attracted', 4), (' free', 4), (' cheated', 3), (' lost', 3), (' alone', 3), (' independent', 3), (' demoralized', 3), (' embarrassed', 3), (' entitled', 3), (' angry', 2), (' powerless', 2), (' ecstatic', 2), (' obsessed', 2), (' adequate', 2), (' apathetic', 1), (' fearful', 1), (' codependent', 1)]",[],0316168815,the lovely bones,Alice Sebold,2004,Back Bay Books,http://images.amazon.com/images/P/0316168815.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316168815.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316168815.01.LZZZZZZZ.jpg
1194,treasure island,robert louis stevenson,sheer storytelling delight pure adventure treasure island never surpassed moment young jim hawkins first encounters sinister blind pew admiral benbow inn climactic battle treasure tropic isle novel creates scenes characters fired imaginations generations readers written superb prose stylist master action atmosphere story centers upon conflict good evil case particularly engaging form evil villainy ambiguous rogue long john silver sets tempo tale treachery greed daring designed forever kindle dream high romance distant horizons treasure island words g k chesterton realization ideal promised provocative beckoning map vision white skeletons also green palm trees sapphire seas g fraser terms utterly original book goes write always place stories like treasure island keep boys old men happy ,Fiction,1994,Signet Classics,https://www.goodreads.com/book/show/295.Treasure_Island,"[(' happy', 28), (' attached', 7), (' attracted', 6), (' fearless', 5), (' sad', 4), (' loved', 3), (' adequate', 2), (' surprise', 2), (' fearful', 2), (' esteemed', 2), (' belittled', 2), (' embarrassed', 1), (' obsessed', 1), (' alone', 1), (' average', 1), (' lustful', 1), (' lost', 1), (' hated', 1), (' powerless', 1)]","[(' fearless', 30), (' happy', 30)]",0451521897,treasure island,Robert Louis Stevenson,1994,Signet Classics,http://images.amazon.com/images/P/0451521897.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451521897.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451521897.01.LZZZZZZZ.jpg
1204,waiting for the barbarians,j.m. coetzee,decades magistrate loyal servant empire running affairs tiny frontier settlement ignoring impending war barbarians interrogation experts arrive however witnesses empire cruel unjust treatment prisoners war jolted sympathy victims commits quixotic act rebellion brands enemy state j coetzee prize winning novel startling allegory war oppressor oppressed magistrate simply man living crisis conscience obscure place remote times situation men living unbearable complicity regimes ignore justice decency ,Fiction,1982,Penguin Books,https://www.goodreads.com/book/show/6194.Waiting_for_the_Barbarians,"[(' happy', 8), (' sad', 6), (' angry', 6), (' fearful', 5), (' hated', 4), (' alone', 4), (' anxious', 3), (' focused', 3), (' free', 3), (' average', 2), (' derailed', 2), (' ecstatic', 2), (' attracted', 1), (' safe', 1), (' bored', 1), (' apathetic', 1), (' powerless', 1), (' esteemed', 1), (' independent', 1), (' attached', 1), (' loved', 1), (' cheated', 1)]","[(' sad', 30)]",014006110X,waiting for the barbarians,J.M. Coetzee,1982,Penguin Books,http://images.amazon.com/images/P/014006110X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014006110X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014006110X.01.LZZZZZZZ.jpg
1205,"always outnumbered, always outgunned",walter mosley,cycle 14 bittersweet stories walter mosley breaks genre setting bestselling easy rawlins detective novels eight years serving prison sentence murder socrates fortlow lives tiny two room watts apartment cooks hot plate scavenges bottles drinks wrestles demons struggling control seemingly boundless rage well power massive rock breaking hands socrates must find way live honourable life black man margins white world task takes every ounce self control easy rawlins fans might initially find disappointed absence mystery unravel gripping inner drama unfolds pages stories socrates comes grips chaos poverty violence around tries get keep job delivering groceries takes young street kid named darryl murder hide helps drive neighbourhood crack dealer throughout mosley captures rhythms watts life prose lyrical hard edged resulting haunting look life bounded lust violence fear ruthlessly unsentimental moral vision ,Fiction,1997,Little Brown and Company,https://www.goodreads.com/book/show/84557.Always_Outnumbered_Always_Outgunned,"[(' happy', 10), (' attached', 9), (' sad', 6), (' loved', 5), (' free', 4), (' ecstatic', 3), (' fearful', 3), (' attracted', 2), (' fearless', 2), (' powerless', 2), (' independent', 2), (' surprise', 2), (' cheated', 1), (' singled out', 1), (' entitled', 1), (' hated', 1), (' esteemed', 1), (' angry', 1), (' focused', 1), (' alone', 1), (' derailed', 1)]","[(' demoralized', 30)]",0393045390,"always outnumbered, always outgunned",Walter Mosley,1997,Little Brown and Company,http://images.amazon.com/images/P/0393045390.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393045390.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393045390.01.LZZZZZZZ.jpg
1207,the discovery of heaven,harry mulisch,discovery heaven begins meeting onno max two complicated individuals fate mysteriously magically brought together share responsibility birth remarkable radiant boy embarks mandated quest takes reader europe land quests begin end abounding philosophical psychological theological inquiries yet laced humour infectious wilful discovery heaven convinces us might possible bring order chaos world story ,Fiction,1997,Penguin Books,https://www.goodreads.com/book/show/88389.The_Discovery_of_Heaven,"[(' happy', 10), (' sad', 6), (' attracted', 5), (' angry', 3), (' lost', 3), (' attached', 3), (' surprise', 3), (' hated', 3), (' bored', 2), (' powerless', 2), (' loved', 2), (' embarrassed', 2), (' adequate', 2), (' fearless', 2), (' free', 1), (' demoralized', 1), (' singled out', 1), (' alone', 1)]",[],0140239375,the discovery of heaven,Harry Mulisch,1997,Penguin Books,http://images.amazon.com/images/P/0140239375.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140239375.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140239375.01.LZZZZZZZ.jpg
1209,the true story of the 3 little pigs,jon scieszka,thought knew story “ three little pigs ” … thought wrong hysterical clever fracture fairy tale picture book twists point view perspective young readers finally hear side story “ three little pigs ” ,Fiction,1996,Puffin Books,https://www.goodreads.com/book/show/125507.The_True_Story_of_the_3_Little_Pigs,"[(' happy', 16), (' sad', 8), (' cheated', 6), (' attached', 5), (' fearful', 3), (' attracted', 3), (' loved', 3), (' lost', 2), (' ecstatic', 2), (' alone', 1), (' obsessed', 1), (' singled out', 1), (' free', 1), (' esteemed', 1), (' codependent', 1)]","[(' fearful', 30)]",0140544518,the true story of the 3 little pigs,Jon Scieszka,1996,Puffin Books,http://images.amazon.com/images/P/0140544518.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140544518.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140544518.01.LZZZZZZZ.jpg
1210,thinner,richard bachman,old gypsy woman killed car lawyer billy halleck stricken flesh wasting malady must undertake nightmarish journey confront forces death movie tie book available ,Fiction,1984,New Amer Library,https://www.goodreads.com/book/show/10605.Thinner,"[(' happy', 25), (' sad', 10), (' attached', 9), (' free', 8), (' singled out', 8), (' angry', 5), (' fearless', 4), (' attracted', 3), (' independent', 3), (' fearful', 3), (' loved', 3), (' lost', 3), (' anxious', 3), (' powerless', 3), (' focused', 2), (' demoralized', 2), (' adequate', 2), (' ecstatic', 1), (' bored', 1), (' average', 1), (' lustful', 1), (' alone', 1), (' esteemed', 1), (' derailed', 1), (' surprise', 1)]",[],0451137965,thinner,Stephen King,1985,New Amer Library,http://images.amazon.com/images/P/0451137965.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451137965.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451137965.01.LZZZZZZZ.jpg
1216,shame,salman rushdie,novel set stage modern classic satanic verses shame salman rushdie ’ phantasmagoric epic unnamed country “ quite pakistan ” dazzling tale ongoing duel families two men–one celebrated wager war debauched lover pleasure–rushdie brilliantly portrays world caught honor humiliation– “ shamelessness shame roots violence ” shame astonishing story grows timely day ,Fiction,0,Pan Books Ltd,https://www.goodreads.com/book/show/4831.Shame,"[(' happy', 12), (' sad', 9), (' attached', 8), (' loved', 6), (' lost', 4), (' attracted', 4), (' focused', 2), (' fearful', 2), (' entitled', 2), (' angry', 2), (' cheated', 1), (' free', 1), (' safe', 1), (' hated', 1), (' fearless', 1), (' derailed', 1), (' powerless', 1), (' esteemed', 1), (' surprise', 1), (' singled out', 1)]",[],188836369X,shame,Annie Ernaux,1998,Seven Stories Press,http://images.amazon.com/images/P/188836369X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/188836369X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/188836369X.01.LZZZZZZZ.jpg
1221,go tell it on the mountain,james baldwin,go tell mountain first published 1953 baldwin first major work semi autobiographical novel established american classic lyrical precision psychological directness resonating symbolic power rage unrelenting compassionate baldwin chronicles fourteen year old boy discovery terms identity stepson minister storefront pentecostal church harlem one saturday march 1935 baldwin rendering protagonist spiritual sexual moral struggle self invention opened new possibilities american language way americans understand ,Fiction,1985,Laurel,https://www.goodreads.com/book/show/17143.Go_Tell_It_on_the_Mountain,"[(' sad', 27), (' happy', 21), (' attracted', 9), (' angry', 7), (' attached', 6), (' adequate', 5), (' embarrassed', 5), (' powerless', 4), (' independent', 4), (' fearful', 4), (' entitled', 3), (' singled out', 3), (' focused', 3), (' free', 3), (' fearless', 3), (' surprise', 3), (' anxious', 2), (' loved', 2), (' lost', 2), (' lustful', 2), (' alone', 1), (' hated', 1), (' esteemed', 1)]","[(' attached', 30)]",0440330076,go tell it on the mountain,James Baldwin,1985,Laurel,http://images.amazon.com/images/P/0440330076.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440330076.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440330076.01.LZZZZZZZ.jpg
1223,dolores claiborne,stephen king,suspected killing vera donovan wealthy employer dolores claiborne tells police story life harkening back disintegrating marriage suspicious death violent husband joe st george thirty years earlier dolores also tells vera physical mental decline loyalty employer become emotionally demanding recent years ,Fiction,2004,Signet Book,https://www.goodreads.com/book/show/7278752-dolores-claiborne,"[(' attached', 17), (' happy', 16), (' sad', 13), (' attracted', 11), (' independent', 6), (' angry', 6), (' fearful', 5), (' loved', 5), (' anxious', 3), (' esteemed', 3), (' singled out', 3), (' ecstatic', 2), (' fearless', 2), (' hated', 2), (' surprise', 2), (' average', 2), (' cheated', 2), (' lustful', 1), (' adequate', 1), (' free', 1)]","[(' anxious', 30), (' fearful', 30)]",0451177096,dolores claiborne,Stephen King,2004,Signet Book,http://images.amazon.com/images/P/0451177096.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451177096.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451177096.01.LZZZZZZZ.jpg
1233,high fidelity,nick hornby,know desert island time top five memorable split ups rob keeps list fact laura even though become latest ex got life back see wants wants like listen whatever music likes look girls list generally behaves laura never mattered rob finds move stuck really deep groove called laura soon rob asking big questions love life choose share people ,Fiction,1996,Riverhead Books,https://www.goodreads.com/book/show/285092.High_Fidelity,"[(' happy', 28), (' fearful', 17), (' sad', 16), (' attached', 13), (' alone', 9), (' loved', 6), (' entitled', 5), (' attracted', 5), (' angry', 4), (' embarrassed', 4), (' fearless', 4), (' adequate', 4), (' codependent', 3), (' lost', 3), (' hated', 3), (' free', 3), (' obsessed', 3), (' average', 2), (' surprise', 2), (' ecstatic', 2), (' apathetic', 2), (' singled out', 1), (' lustful', 1), (' safe', 1), (' anxious', 1), (' cheated', 1)]",[],1573225517,high fidelity,Nick Hornby,1996,Riverhead Books,http://images.amazon.com/images/P/1573225517.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573225517.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573225517.01.LZZZZZZZ.jpg
1239,five quarters of the orange,joanne harris,novels joanne harris literary feast senses five quarters orange represents harris complex sophisticated work yet novel darkness fierce joy come together create unforgettable story framboise simon returns small village banks loire locals recognize daughter infamous mirabelle dartigen woman still hold responsible terrible tragedy took place german occupation decades although framboise hopes new beginning quickly discovers past present inextricably intertwined nowhere truth apparent scrapbook recipes inherited dead mother book framboise creates mother dishes serves small creperie yet studies scrapbook searching clues unlock contradiction mother sensuous love food often cruel demeanor begins recognize deeper meaning behind mirabelle cryptic scribbles within journal tattered pages lies key actually transpired summer framboise nine years old rich dark five quarters orange novel mothers daughters past present resisting succumbing extraordinary work masterful writer ,Fiction,2002,Perennial,https://www.goodreads.com/book/show/15096.Five_Quarters_of_the_Orange,"[(' happy', 10), (' attached', 8), (' fearless', 8), (' sad', 6), (' loved', 5), (' independent', 5), (' attracted', 4), (' surprise', 3), (' demoralized', 2), (' alone', 2), (' anxious', 2), (' average', 1), (' safe', 1), (' derailed', 1), (' fearful', 1), (' free', 1), (' hated', 1), (' adequate', 1)]","[(' sad', 29), (' adequate', 29)]",0060958022,five quarters of the orange,Joanne Harris,2002,Perennial,http://images.amazon.com/images/P/0060958022.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060958022.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060958022.01.LZZZZZZZ.jpg
1242,deliverance,james dickey,setting georgia wilderness state remote white water river awaits thundering froth river echoing stone canyons four men canoe trip discover freedom exhilaration beyond compare moment horror adventure turns struggle survival one man becomes human hunter offered harrowing deliverance ,Fiction,1986,Laurel,https://www.goodreads.com/book/show/592657.Deliverance,"[(' happy', 15), (' independent', 11), (' attracted', 9), (' sad', 7), (' fearful', 7), (' attached', 5), (' powerless', 5), (' loved', 4), (' adequate', 4), (' average', 4), (' lost', 4), (' esteemed', 3), (' angry', 3), (' fearless', 2), (' surprise', 2), (' belittled', 1), (' anxious', 1), (' hated', 1), (' demoralized', 1), (' cheated', 1), (' ecstatic', 1), (' lustful', 1), (' bored', 1), (' obsessed', 1), (' free', 1), (' derailed', 1)]",[],0440318688,deliverance,JAMES DICKEY,1986,Laurel,http://images.amazon.com/images/P/0440318688.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440318688.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440318688.01.LZZZZZZZ.jpg
1244,the birds' christmas carol,kate douglas wiggin,early christmas morning stillness dawn soft snow falling housetops little child born bird household intended name baby lucy girl expected christmas morning real christmas baby lightly named whole family agreed ,Fiction,1997,Houghton Mifflin,https://www.goodreads.com/book/show/93818.The_Birds_Christmas_Carol,"[(' happy', 10), (' sad', 5), (' loved', 3), (' free', 3), (' angry', 3), (' attached', 3), (' lost', 2), (' esteemed', 1), (' cheated', 1), (' independent', 1), (' attracted', 1), (' embarrassed', 1), (' demoralized', 1), (' fearless', 1), (' average', 1)]",[],0395072050,the birds' christmas carol,Kate Douglas Wiggin,1997,Houghton Mifflin,http://images.amazon.com/images/P/0395072050.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0395072050.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0395072050.01.LZZZZZZZ.jpg
1245,the english patient,michael ondaatje,ravishing beauty unsettling intelligence michael ondaatje booker prize winning novel traces intersection four damaged lives italian villa end world war ii hana exhausted nurse maimed thief caravaggio wary sapper kip haunted riddle english patient nameless burned man lies upstairs room whose memories passion betrayal rescue illuminates book like flashes heat lightening ,Fiction,1996,Vintage Books USA,https://www.goodreads.com/book/show/11713.The_English_Patient,"[(' happy', 10), (' attracted', 7), (' sad', 7), (' attached', 5), (' loved', 5), (' hated', 5), (' alone', 5), (' anxious', 4), (' fearful', 4), (' powerless', 3), (' fearless', 2), (' codependent', 2), (' independent', 2), (' derailed', 2), (' surprise', 2), (' angry', 2), (' apathetic', 2), (' ecstatic', 2), (' free', 1), (' focused', 1), (' lost', 1), (' average', 1), (' demoralized', 1), (' obsessed', 1), (' esteemed', 1), (' lustful', 1)]",[],0679745203,the english patient,Michael Ondaatje,1996,Vintage Books USA,http://images.amazon.com/images/P/0679745203.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679745203.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679745203.01.LZZZZZZZ.jpg
1248,"it's like this, cat",emily cheney neville,newbery winning classic novel young new yorker figures world terms help one prickly tomcat readers enjoy books al capone shirts hoot dave mitchell father disagree almost everything—and every time fighting sets mother ’ asthma dave ends storming house dave meets big handsome tomcat decides bring home matter father say adventure loving cat around dave meets lots new people—like tom young dropout city mary first girl talk like real person eyes open around dave starts understand father little better still ’ see eye eye lot things one thing agree cat educational—especially ’ one like cat ,Fiction,1975,HarperTrophy,https://www.goodreads.com/book/show/818095.It_s_Like_This_Cat,"[(' attached', 19), (' loved', 9), (' happy', 7), (' fearless', 5), (' sad', 4), (' free', 3), (' attracted', 3), (' alone', 3), (' surprise', 3), (' lost', 2), (' esteemed', 2), (' ecstatic', 2), (' anxious', 2), (' powerless', 1), (' fearful', 1), (' hated', 1), (' entitled', 1), (' bored', 1), (' independent', 1)]","[(' attached', 30)]",0064400735,"it's like this, cat",Emily Cheney Neville,1975,HarperTrophy,http://images.amazon.com/images/P/0064400735.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064400735.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064400735.01.LZZZZZZZ.jpg
1250,jonathan livingston seagull,richard bach,story people follow hearts make rules people get special pleasure something well even people know living meets eye ’ right jonathan flying higher faster ever dreamed jonathan livingston seagull ordinary bird believes every gull right fly reach ultimate freedom challenge discovery finding greatest reward teaching younger gulls joy flight power dreams special 20th anniversary release spiritual classic ,Fiction,1976,Avon,https://www.goodreads.com/book/show/71728.Jonathan_Livingston_Seagull,"[(' happy', 17), (' attracted', 8), (' attached', 6), (' free', 3), (' alone', 3), (' fearless', 3), (' hated', 3), (' bored', 2), (' angry', 2), (' safe', 2), (' loved', 2), (' embarrassed', 1), (' adequate', 1), (' obsessed', 1), (' fearful', 1), (' sad', 1), (' esteemed', 1), (' anxious', 1), (' demoralized', 1), (' focused', 1), (' lost', 1)]","[(' average', 30)]",0380012863,jonathan livingston seagull,Richard Bach,1976,Avon,http://images.amazon.com/images/P/0380012863.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380012863.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380012863.01.LZZZZZZZ.jpg
1253,the joy luck club,amy tan,alternate cover editions isbn 9780143038092 found four mothers four daughters four families whose histories shift four winds depending telling stories 1949 four chinese women recent immigrants san francisco meet weekly play mahjong tell stories left behind china united loss new hope daughters futures call joy luck club daughters never heard stories think mothers advice irrelevant modern american lives – inner crises reveal much unknowingly inherited mothers pasts wit sensitivity amy tan examines sometimes painful often tender always deep connection mothers daughters woman reveals secrets trying unravel truth life strings become tangled entwined mothers boast despair daughters daughters roll eyes even feel inextricable tightening matriarchal ties tan astute storyteller enticing readers immerse lives complexity mystery ,Fiction,1994,Prentice Hall (K-12),https://www.goodreads.com/book/show/7763.The_Joy_Luck_Club,"[(' happy', 21), (' attached', 17), (' attracted', 9), (' sad', 9), (' loved', 7), (' hated', 6), (' lost', 4), (' powerless', 3), (' free', 3), (' cheated', 2), (' independent', 2), (' angry', 2), (' surprise', 2), (' ecstatic', 2), (' average', 2), (' adequate', 1), (' fearless', 1), (' demoralized', 1), (' obsessed', 1), (' esteemed', 1), (' codependent', 1), (' focused', 1)]",[],0804106304,the joy luck club,Amy Tan,1994,Prentice Hall (K-12),http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
1256,darkness visible,william golding,dazzlingly dark novel nobel laureate height london blitz naked child steps consuming fire miraculously saved yet hideously scarred tormented school work matty becomes wanderer seeker unknown redemption two lost children await twins exquisite loveless toni dabbles political violence sophy sexual tyranny golding weaves destinies together draws toward final conflagration book lights inner outer darknesses time ,Fiction,1999,Farrar Straus Giroux,https://www.goodreads.com/book/show/249043.Darkness_Visible,"[(' happy', 9), (' sad', 9), (' angry', 6), (' surprise', 4), (' lost', 4), (' alone', 4), (' attracted', 3), (' esteemed', 3), (' entitled', 3), (' hated', 3), (' free', 3), (' ecstatic', 2), (' attached', 2), (' cheated', 1), (' focused', 1), (' fearless', 1), (' fearful', 1), (' adequate', 1), (' lustful', 1), (' apathetic', 1), (' obsessed', 1), (' average', 1), (' powerless', 1), (' derailed', 1), (' bored', 1)]","[(' sad', 30), (' lost', 30)]",0374525609,darkness visible,William Golding,1999,Farrar Straus Giroux,http://images.amazon.com/images/P/0374525609.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374525609.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374525609.01.LZZZZZZZ.jpg
1257,the jester,james patterson,freedom eleventh century france luxury enjoyed king nobility serf surely worth fighting worth dying arriving home disillusioned crusades hugh deluc discovers village ransacked wife abducted dark riders came dead night like devils wearing colours black crosses chests leaving clue knights may honour chivalry part code search relic one worth throne europe man stand way hugh taking role jester able infiltrate enemy castle believes wife held captive man fighting freedom wife everything holds dear prove formidable opponent ,Fiction,2003,"Little, Brown",https://www.goodreads.com/book/show/13157.The_Jester,"[(' happy', 9), (' attached', 5), (' angry', 2), (' powerless', 2), (' average', 2), (' attracted', 2), (' singled out', 2), (' loved', 2), (' sad', 2), (' surprise', 2), (' entitled', 1), (' adequate', 1), (' demoralized', 1), (' apathetic', 1), (' fearful', 1), (' fearless', 1), (' free', 1)]","[(' sad', 30), (' demoralized', 30)]",0316602051,the jester,James Patterson,2003,"Little, Brown",http://images.amazon.com/images/P/0316602051.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316602051.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316602051.01.LZZZZZZZ.jpg
1260,the house of the spirits,isabel allende,one important beloved latin american works twentieth century isabel allende weaves luminous tapestry three generations trueba family revealing triumphs tragedies patriarch esteban whose wild desires political machinations tempered love ethereal wife clara woman touched otherworldly hand daughter blanca whose forbidden love man esteban deemed unworthy infuriates father yet produce greatest joy granddaughter alba beautiful ambitious girl lead family country revolutionary future house spirits enthralling saga spans decades lives twining personal political epic novel love magic fate ,Fiction,1986,Bantam Books,https://www.goodreads.com/book/show/9328.The_House_of_the_Spirits,"[(' sad', 16), (' attached', 8), (' attracted', 8), (' happy', 8), (' independent', 7), (' loved', 5), (' ecstatic', 5), (' lost', 4), (' powerless', 4), (' hated', 3), (' fearless', 2), (' anxious', 2), (' fearful', 2), (' lustful', 2), (' angry', 2), (' surprise', 2), (' free', 1), (' singled out', 1), (' average', 1), (' alone', 1), (' embarrassed', 1), (' esteemed', 1), (' cheated', 1), (' apathetic', 1), (' focused', 1)]","[(' happy', 30)]",0553273914,the house of the spirits,Isabel Allende,1986,Bantam Books,http://images.amazon.com/images/P/0553273914.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553273914.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553273914.01.LZZZZZZZ.jpg
1262,the rules of attraction,bret easton ellis,bestselling author american psycho comes satirical black comedy death romance set affluent liberal arts college height reagan eighties rules attraction follows handful rowdy spoiled sexually promiscuous students plans future even present three sean paul lauren become involved love triangle sorts within sequence drug runs dressed get screwed parties end world parties bret easton ellis trains incisive gaze kids self consciously bohemian camden college treating sexual posturing agonies mixture acrid hilarity compassion exposes moral vacuum center lives ,Fiction,1998,Vintage Books USA,https://www.goodreads.com/book/show/9912.The_Rules_of_Attraction,"[(' sad', 14), (' happy', 14), (' attached', 11), (' entitled', 7), (' loved', 6), (' lost', 6), (' bored', 5), (' attracted', 5), (' hated', 3), (' apathetic', 3), (' fearful', 2), (' singled out', 2), (' esteemed', 2), (' lustful', 2), (' demoralized', 2), (' surprise', 2), (' anxious', 1), (' alone', 1), (' powerless', 1), (' average', 1), (' adequate', 1), (' embarrassed', 1), (' angry', 1), (' fearless', 1), (' free', 1)]",[],067978148X,the rules of attraction,Bret Easton Ellis,1998,Vintage Books USA,http://images.amazon.com/images/P/067978148X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067978148X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067978148X.01.LZZZZZZZ.jpg
1264,the things they carried,tim o'brien,modern classic new york times best seller finalist 1990 pulitzer prize national book critics circle award become staple american classrooms hailed new york times marvel storytelling things carried ’ portrayal boots ground experience soldiers vietnam war landmark war writing three time emmy award winner bryan cranston star hit tv series breaking bad delivers electrifying performance walks book ’ hallucinatory line reality fiction highlights emotional power spoken word soldiers collection stories carried 16 rifles 60 machine guns 79 grenade launchers carried plastic explosives hand grenades flak jackets landmines also carried letters home illustrated bibles pictures loved ones carried extra food comic books drugs every man carried needed survive carried shattering stories away jungle back nation would never understand audiobook also includes exclusive recording “ vietnam ” recount author ’ trip back vietnam 1994 revisiting experience soldier 25 years read tim ’ brien things carried produced audible studios partnership playtone celebrated film television production company founded tom hanks gary goetzman producer award winning series band brothers john adams pacific well hbo movie game change ©1990 tim brien p 2013 audible inc bryan cranston turning one great television performances walter white emmy award winning breaking bad needless say thrilled hear narrating tim brien classic things carried first experienced book high school revisit gifted performer absolute treat cranston fully inhabits brien collection semi autobiographical stories vietnam war brings sense experience remembrance though actually heard sample far already consider one top audiobook performances year ,Fiction,1998,Broadway,https://www.goodreads.com/book/show/133518.The_Things_They_Carried,"[(' happy', 31), (' sad', 16), (' attached', 9), (' attracted', 6), (' angry', 6), (' singled out', 5), (' lost', 4), (' hated', 3), (' loved', 3), (' alone', 3), (' cheated', 2), (' fearless', 2), (' fearful', 2), (' surprise', 2), (' embarrassed', 2), (' adequate', 1), (' esteemed', 1), (' free', 1), (' derailed', 1), (' safe', 1), (' powerless', 1), (' obsessed', 1)]","[(' attached', 30), (' attracted', 30), (' happy', 30), (' loved', 30)]",0767902890,the things they carried,TIM O'BRIEN,1998,Broadway,http://images.amazon.com/images/P/0767902890.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767902890.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767902890.01.LZZZZZZZ.jpg
1266,"the beans of egypt, maine",carolyn chute,families like beans america live wrong side town mobile homes strung christmas lights year around women often pregnant men drunk jail children numerous count beans egypt maine meet god fearing earlene pomerleau experience obsession whole swarming bean tribe cousin rubie boozer brawler tall aunt roberta earth mother surrounded countless clinging babies beal sensitive often gentle doomed violence within ,Fiction,1986,Warner Books,https://www.goodreads.com/book/show/263862.The_Beans_of_Egypt_Maine,"[(' happy', 14), (' attracted', 7), (' sad', 7), (' attached', 6), (' angry', 5), (' fearful', 3), (' powerless', 3), (' alone', 2), (' lost', 1), (' average', 1), (' safe', 1), (' lustful', 1), (' loved', 1), (' anxious', 1), (' ecstatic', 1), (' codependent', 1), (' fearless', 1), (' cheated', 1), (' adequate', 1)]",[],0446300101,"the beans of egypt, maine",Carolyn Chute,1986,Warner Books,http://images.amazon.com/images/P/0446300101.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446300101.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446300101.01.LZZZZZZZ.jpg
